frequency_hz,magnitude_db,phase_deg,real,imag
1,-4.3454e-06,-0.057312,0.999999,-0.00100028
1.12202,-5.47054e-06,-0.0643051,0.999999,-0.00112233
1.25893,-6.887e-06,-0.0721515,0.999998,-0.00125928
1.41254,-8.67021e-06,-0.0809553,0.999998,-0.00141293
1.58489,-1.09151e-05,-0.0908333,0.999997,-0.00158534
1.77828,-1.37414e-05,-0.101917,0.999997,-0.00177878
1.99526,-1.72993e-05,-0.114352,0.999996,-0.00199582
2.23872,-2.17786e-05,-0.128305,0.999995,-0.00223934
2.51189,-2.74176e-05,-0.143961,0.999994,-0.00251258
2.81838,-3.45166e-05,-0.161527,0.999992,-0.00281916
3.16228,-4.34538e-05,-0.181236,0.99999,-0.00316314
3.54813,-5.47051e-05,-0.20335,0.999987,-0.00354909
3.98107,-6.88695e-05,-0.228162,0.999984,-0.00398214
4.46684,-8.67013e-05,-0.256002,0.99998,-0.00446801
5.01187,-0.00010915,-0.287238,0.999975,-0.00501317
5.62341,-0.000137412,-0.322286,0.999968,-0.00562483
6.30957,-0.00017299,-0.361609,0.99996,-0.00631111
7.07946,-0.000217781,-0.405731,0.99995,-0.00708111
7.94328,-0.000274168,-0.455236,0.999937,-0.00794503
8.91251,-0.000345154,-0.51078,0.999921,-0.00891432
10,-0.000434519,-0.573101,0.9999,-0.0100018
11.2202,-0.00054702,-0.643024,0.999874,-0.0112219
12.5893,-0.000688646,-0.721477,0.999841,-0.0125908
14.1254,-0.000866936,-0.8095,0.9998,-0.0141266
15.8489,-0.00109138,-0.908258,0.999749,-0.0158494
17.7828,-0.00137392,-1.01906,0.999684,-0.0177822
19.9526,-0.00172959,-1.14337,0.999602,-0.0199503
22.3872,-0.00217732,-1.28284,0.999499,-0.0223823
25.1189,-0.0027409,-1.43931,0.999369,-0.0251101
28.1838,-0.00345031,-1.61484,0.999206,-0.0281694
31.6228,-0.00434323,-1.81176,0.999,-0.0316001
35.4813,-0.0054671,-2.03265,0.998742,-0.0354467
39.8107,-0.00688155,-2.28043,0.998417,-0.0397589
44.6684,-0.00866158,-2.55833,0.998008,-0.044592
50.1187,-0.0109015,-2.87,0.997493,-0.0500072
56.2341,-0.0137197,-3.2195,0.996846,-0.0560726
63.0957,-0.017265,-3.61135,0.996032,-0.0628632
70.7946,-0.0217242,-4.05062,0.99501,-0.0704613
79.4328,-0.0273315,-4.54291,0.993726,-0.0789568
89.1251,-0.0343803,-5.09447,0.992115,-0.0884474
100,-0.0432381,-5.7122,0.990093,-0.0990374
112.202,-0.0543637,-6.40371,0.98756,-0.110837
125.893,-0.0683297,-7.17737,0.98439,-0.123962
141.254,-0.0858481,-8.0423,0.980427,-0.138528
158.489,-0.107803,-9.00837,0.975483,-0.154647
177.828,-0.135285,-10.0862,0.96933,-0.172423
199.526,-0.169637,-11.2869,0.961693,-0.191937
223.872,-0.212501,-12.6223,0.952248,-0.213242
251.189,-0.26587,-14.1042,0.940617,-0.236339
281.838,-0.332137,-15.7441,0.926374,-0.261162
316.228,-0.41415,-17.5531,0.909044,-0.287546
354.813,-0.515244,-19.5405,0.888128,-0.315209
398.107,-0.639257,-21.7134,0.863126,-0.343714
446.684,-0.790507,-24.0756,0.833584,-0.372454
501.187,-0.973722,-26.6259,0.799149,-0.400637
562.341,-1.1939,-29.3578,0.759644,-0.4273
630.957,-1.4561,-32.2575,0.715137,-0.451349
707.946,-1.76517,-35.3041,0.666014,-0.471635
794.328,-2.12538,-38.469,0.613003,-0.487063
891.251,-2.54011,-41.7171,0.557172,-0.496721
1000,-3.01153,-45.0081,0.499858,-0.5
1122.02,-3.54039,-48.299,0.442549,-0.496688
1258.93,-4.12593,-51.5468,0.386729,-0.487001
1412.54,-4.76599,-54.7112,0.333735,-0.471546
1584.89,-5.45716,-57.7571,0.284632,-0.451239
1778.28,-6.19518,-60.6561,0.24015,-0.427174
1995.26,-6.97519,-63.3871,0.200669,-0.400501
2238.72,-7.79215,-65.9365,0.166259,-0.372313
2511.89,-8.64104,-68.2977,0.13674,-0.343573
2818.38,-9.51715,-70.4697,0.11176,-0.31507
3162.28,-10.4162,-72.4563,0.0908623,-0.287413
3548.13,-11.3342,-74.2644,0.073549,-0.261035
3981.07,-12.268,-75.9035,0.0593193,-0.236221
4466.84,-13.2147,-77.3846,0.047701,-0.213133
5011.87,-14.1719,-78.7193,0.0382657,-0.191837
5623.41,-15.1376,-79.9194,0.0306366,-0.172331
6309.57,-16.1101,-80.9966,0.0244898,-0.154564
7079.46,-17.0882,-81.9622,0.0195514,-0.138453
7943.28,-18.0707,-82.8266,0.015593,-0.123894
8912.51,-19.0568,-83.5999,0.0124258,-0.110776
10000,-20.0456,-84.291,0.00989544,-0.0989824
11220.2,-21.0368,-84.9084,0.00787626,-0.0883981
12589.3,-22.0298,-85.4597,0.00626649,-0.0789127
14125.4,-23.0242,-85.9517,0.00498407,-0.0704218
15848.9,-24.0197,-86.3907,0.00396305,-0.0628279
17782.8,-25.0162,-86.7823,0.00315053,-0.0560411
19952.6,-26.0133,-87.1316,0.00250418,-0.0499791
22387.2,-27.0111,-87.4431,0.00199016,-0.0445668
25118.9,-28.0093,-87.7209,0.00158149,-0.0397365
28183.8,-29.0079,-87.9685,0.00125663,-0.0354267
31622.8,-30.0068,-88.1893,0.000998436,-0.0315823
35481.3,-31.0059,-88.3861,0.000793249,-0.0281535
39810.7,-32.0052,-88.5615,0.000630203,-0.0250959
44668.4,-33.0046,-88.7179,0.000500653,-0.0223697
50118.7,-34.0042,-88.8573,0.000397724,-0.019939
56234.1,-35.0038,-88.9815,0.000315949,-0.0177721
63095.7,-36.0035,-89.0923,0.000250983,-0.0158405
70794.6,-37.0033,-89.191,0.000199374,-0.0141186
79432.8,-38.0031,-89.2789,0.000158375,-0.0125837
89125.1,-39.003,-89.3573,0.000125805,-0.0112156
100000,-40.0029,-89.4272,9.99334e-05,-0.00999617
112202,-41.0028,-89.4895,7.93816e-05,-0.00890928
125893,-42.0027,-89.545,6.3056e-05,-0.00794053
141254,-43.0027,-89.5945,5.00878e-05,-0.0070771
158489,-44.0026,-89.6386,3.97866e-05,-0.00630754
177828,-45.0026,-89.6779,3.16039e-05,-0.00562164
199526,-46.0026,-89.7129,2.5104e-05,-0.00501033
223872,-47.0025,-89.7441,1.99409e-05,-0.00446548
251189,-48.0025,-89.772,1.58397e-05,-0.00397988
281838,-49.0025,-89.7968,1.2582e-05,-0.00354709
316228,-50.0025,-89.8189,9.99424e-06,-0.00316135
354813,-51.0025,-89.8386,7.93872e-06,-0.00281756
398107,-52.0025,-89.8561,6.30596e-06,-0.00251116
446684,-53.0025,-89.8718,5.00901e-06,-0.00223808
501187,-54.0025,-89.8857,3.9788e-06,-0.00199469
562341,-55.0025,-89.8981,3.16048e-06,-0.00177777
630957,-56.0025,-89.9092,2.51046e-06,-0.00158444
707946,-57.0025,-89.9191,1.99413e-06,-0.00141213
794328,-58.0025,-89.9279,1.58399e-06,-0.00125857
891251,-59.0025,-89.9357,1.25821e-06,-0.0011217
1e+06,-60.0025,-89.9427,9.99433e-07,-0.000999716
