frequency_hz,magnitude_db,phase_deg,real,imag
10,3.2576e-05,-0.0360001,1,-0.000628323
10.7978,3.79809e-05,-0.0388721,1,-0.000678449
11.6591,4.42825e-05,-0.0419731,1,-0.000732573
12.5893,5.16296e-05,-0.0453216,1.00001,-0.000791016
13.5936,6.01957e-05,-0.0489372,1.00001,-0.000854121
14.678,7.01831e-05,-0.0528412,1.00001,-0.00092226
15.8489,8.18275e-05,-0.0570567,1.00001,-0.000995837
17.1133,9.5404e-05,-0.0616085,1.00001,-0.00107528
18.4785,0.000111233,-0.0665235,1.00001,-0.00116107
19.9526,0.000129688,-0.0718305,1.00001,-0.0012537
21.5443,0.000151206,-0.077561,1.00002,-0.00135372
23.2631,0.000176293,-0.0837487,1.00002,-0.00146172
25.1189,0.000205543,-0.0904301,1.00002,-0.00157834
27.1227,0.000239646,-0.0976446,1.00003,-0.00170427
29.2864,0.000279407,-0.105435,1.00003,-0.00184024
31.6228,0.000325765,-0.113846,1.00004,-0.00198707
34.1455,0.000379816,-0.122929,1.00004,-0.00214561
36.8695,0.000442834,-0.132737,1.00005,-0.00231681
39.8107,0.000516308,-0.143327,1.00006,-0.00250168
42.9866,0.000601974,-0.154763,1.00007,-0.0027013
46.4159,0.000701854,-0.167111,1.00008,-0.00291687
50.1187,0.000818306,-0.180445,1.00009,-0.00314965
54.117,0.000954082,-0.194843,1.0001,-0.00340102
58.4341,0.00111239,-0.21039,1.00012,-0.00367247
63.0957,0.00129696,-0.227179,1.00014,-0.00396561
68.1292,0.00151216,-0.245309,1.00016,-0.00428218
73.5642,0.00176307,-0.264886,1.00019,-0.00462405
79.4328,0.00205562,-0.286027,1.00022,-0.00499327
85.7696,0.00239672,-0.308857,1.00026,-0.00539204
92.6119,0.00279443,-0.333512,1.0003,-0.00582272
100,0.00325814,-0.360137,1.00036,-0.0062879
107.978,0.00379882,-0.388892,1.00041,-0.00679036
116.591,0.00442925,-0.419947,1.00048,-0.00733313
125.893,0.00516432,-0.453487,1.00056,-0.00791947
135.936,0.00602142,-0.489714,1.00066,-0.00855294
146.78,0.00702081,-0.528843,1.00077,-0.00923738
158.489,0.00818616,-0.571109,1.00089,-0.00997697
171.133,0.00954503,-0.616767,1.00104,-0.0107763
184.785,0.0111296,-0.666094,1.00121,-0.0116402
199.526,0.0129774,-0.719387,1.00142,-0.0125741
215.443,0.0151322,-0.776973,1.00165,-0.013584
232.631,0.0176451,-0.839203,1.00193,-0.0146761
251.189,0.0205758,-0.906462,1.00225,-0.0158576
271.227,0.0239938,-0.979167,1.00262,-0.0171361
292.864,0.0279804,-1.05777,1.00306,-0.0185202
316.228,0.0326306,-1.14278,1.00356,-0.020019
341.455,0.0380551,-1.23473,1.00416,-0.0216431
368.695,0.0443833,-1.33422,1.00485,-0.0234037
398.107,0.0517667,-1.44191,1.00566,-0.0253138
429.866,0.0603822,-1.55851,1.0066,-0.0273874
464.159,0.0704368,-1.68482,1.00771,-0.0296408
501.187,0.0821726,-1.82173,1.009,-0.032092
541.17,0.0958734,-1.97022,1.0105,-0.0347617
584.341,0.111872,-2.13139,1.01226,-0.0376733
630.957,0.130557,-2.30647,1.01432,-0.0408541
681.292,0.152389,-2.49685,1.01673,-0.0443355
735.642,0.177904,-2.70412,1.01956,-0.0481545
794.328,0.207736,-2.93007,1.02287,-0.0523544
857.696,0.242633,-3.1768,1.02675,-0.0569871
926.119,0.283477,-3.44671,1.03131,-0.0621147
1000,0.331313,-3.74263,1.03667,-0.0678127
1079.78,0.387382,-4.0679,1.04297,-0.0741739
1165.91,0.453157,-4.42649,1.05041,-0.0813134
1258.93,0.530402,-4.8232,1.0592,-0.0893758
1359.36,0.62123,-5.26391,1.06961,-0.0985454
1467.8,0.728185,-5.75585,1.08197,-0.10906
1584.89,0.854349,-6.30809,1.09668,-0.121231
1711.33,1.00348,-6.93218,1.11426,-0.135475
1847.85,1.18017,-7.64304,1.13536,-0.152357
1995.26,1.39012,-8.46035,1.16079,-0.17266
2154.43,1.64045,-9.4105,1.19162,-0.197496
2326.31,1.94011,-10.5299,1.22922,-0.228485
2511.89,2.30053,-11.8697,1.27538,-0.26806
2712.27,2.73643,-13.5047,1.33243,-0.320005
2928.64,3.26699,-15.5475,1.40333,-0.390432
3162.28,3.91726,-18.175,1.49154,-0.489672
3414.55,4.71956,-21.6783,1.6,-0.636018
3686.95,5.71288,-26.5634,1.72661,-0.863247
3981.07,6.93197,-33.7535,1.84683,-1.23417
4298.66,8.35292,-44.9571,1.85121,-1.84844
4641.59,9.69024,-62.8652,1.39174,-2.71563
5011.87,10.0334,-88.4817,0.0841133,-3.17333
5411.7,8.53837,-114.67,-1.1155,-2.42857
5843.41,5.9191,-133.467,-1.35988,-1.43468
6309.57,3.15185,-145.259,-1.18121,-0.819153
6812.92,0.57409,-152.786,-0.950068,-0.488565
7356.42,-1.77585,-157.867,-0.755033,-0.307087
7943.28,-3.93037,-161.492,-0.603139,-0.201903
